arxiv_id,circuit_count
2507.03587,0
2507.16669,0
2509.03570,0
2407.09623,0
2503.12520,0
2401.12719,0
2405.12838,0
2405.01025,0
2504.00193,0
2407.19780,0
2404.18095,0
2509.08584,0
2510.18621,0
2508.17514,0
2409.14560,0
2412.02040,0
2407.16029,0
2408.01177,0
2408.06756,0
2409.13113,0
2503.00362,0
2403.06584,0
2506.17980,0
2504.13910,2
2505.06786,0
2504.00258,0
2401.14150,0
2505.03466,0
2410.08052,0
2509.22752,0
2412.02017,0
2406.19448,0
2408.11737,0
2504.08888,0
2502.06961,3
2406.17021,0
2405.16322,10
2406.13198,0
2510.23591,0
2510.01280,0
2510.19937,0
2506.07496,0
2504.11664,0
2504.20404,0
2502.19019,0
2411.03151,0
2510.24325,0
2401.07659,0
2409.05504,0
2504.10815,0
2412.01173,1
2408.16014,0
2509.15106,0
2506.23246,0
2405.01537,0
2409.05109,0
2408.12016,0
2408.01259,0
2505.18249,0
2406.11788,0
2409.09103,0
2401.09076,0
2401.15144,0
2407.14636,0
2411.12039,0
2404.04210,0
2510.24660,0
2509.25865,0
2405.20376,0
2407.04109,0
2405.01528,0
2412.14252,0
2501.06291,0
2404.13354,0
2401.01942,1
2412.19653,0
2403.05833,0
2506.12298,0
2411.18354,2
2509.07900,0
2203.11245,0
2506.01559,0
2405.00156,0
2505.22932,1
2408.05274,0
2405.06259,0
2505.24366,4
2509.02209,0
2502.06235,0
2409.15433,0
2505.08851,0
2406.10012,0
2412.12288,0
2410.03620,0
2401.11059,0
2508.07913,0
2501.09788,0
2408.02445,0
2407.20739,0
2504.21306,0
2510.04420,0
2412.02083,0
2507.15384,0
2508.08630,0
2411.14710,0
2402.18684,2
2412.13661,0
2505.08603,0
2504.08285,0
2409.17891,0
2405.03390,5
2506.09131,0
2510.22677,0
2505.11530,0
2405.02812,0
2408.15085,0
2502.05284,0
2501.02823,0
2508.14549,0
2505.00768,0
2502.02652,0
2408.03294,0
2411.07911,0
2504.12096,0
2508.03219,0
2507.15725,0
2409.08319,0
2409.03748,0
2507.15918,0
2412.13330,0
2509.06937,0
2410.06116,0
2510.07753,0
2402.09195,0
2412.14102,0
2404.06426,0
2504.13782,0
2410.06029,0
2401.01236,0
2408.04729,0
2501.07780,0
2507.07530,0
2402.15924,0
2510.17984,1
2403.15880,0
2504.10843,0
2508.21342,0
2412.07453,0
2509.12502,0
2506.02105,0
2406.07433,0
2406.03204,1
2506.08917,0
2508.02514,1
2405.03902,0
2403.19299,0
2407.09227,0
2403.01681,0
2510.11981,0
2503.12318,0
2502.20792,0
2504.11181,0
2409.01862,0
2506.20416,0
2506.02717,0
2510.23915,0
2501.02222,4
2407.15813,0
2403.12691,0
2406.15289,0
2403.08912,0
2501.06816,0
2509.06054,1
2509.20545,0
2407.14018,0
2503.13905,0
2510.16561,0
2406.06387,0
2411.00990,2
2401.08542,0
2503.15134,0
2410.05505,0
2408.09872,0
2408.10904,0
2510.07032,0
2501.02398,0
2505.06478,0
2409.05941,0
2508.18147,0
2407.03603,0
2412.09486,0
2402.08226,0
2406.01157,0
2410.19670,0
2404.14501,0
2412.07300,0
2408.11893,0
2505.24052,0
2507.17770,0
2509.02818,0
2508.20698,0
2410.13399,0
2508.09301,0
2402.06208,0
2503.15482,1
2401.07634,0
2407.07893,0
2508.17377,0
2501.10747,0
2506.18061,1
2506.18435,0
2510.08864,2
2510.04198,0
2404.02358,0
2509.15451,5
2503.12197,0
2507.19982,0
2502.10116,0
2410.12634,0
2504.12134,0
2508.17190,0
2507.00159,0
2407.06037,0
2505.10338,0
2412.15061,0
2509.03496,1
2405.19564,0
2409.00828,0
2502.04995,0
2402.11021,0
2412.03204,0
2408.11715,0
2412.15629,0
2409.20515,0
2405.13788,0
2403.18937,0
2508.09234,0
2402.01243,1
2409.04347,0
2311.06029,0
2510.06725,0
2505.21284,0
2510.18116,0
2506.09205,15
2407.08355,0
2411.03230,0
2408.04008,0
2509.03567,0
2503.01517,0
2505.16698,0
2404.06545,0
2507.23650,0
2503.08197,1
2405.07141,0
2506.11236,0
2507.08933,0
2506.03286,0
2408.03224,0
2406.05334,0
2509.00601,0
2410.08677,0
2403.10455,0
2508.21013,0
2504.06902,0
2411.03680,0
2501.03106,0
2502.04152,1
2409.04902,0
2409.04252,0
2404.18104,0
2507.00405,0
2409.19994,0
2408.16759,0
2410.11029,0
2509.05257,0
2506.22854,0
2401.15804,1
2404.19685,0
2507.01688,0
2503.17230,0
2503.02396,0
2407.06026,0
2504.19569,0
2508.16205,0
2501.07357,0
2404.06438,0
2506.19219,0
2504.00154,0
2509.08911,0
2411.09762,1
2411.14573,0
2411.08855,0
2507.01683,0
2505.06158,0
2409.08025,0
2412.09576,0
2503.11616,0
2403.19502,0
2506.07724,0
2505.03689,0
2509.04391,0
2403.16791,4
2502.03820,0
2510.01626,0
2503.08400,0
2503.05045,0
2410.21305,0
2412.05480,0
2503.14404,0
2503.07924,0
2402.08691,0
2507.18003,0
2407.11179,0
2403.02599,0
2509.20127,4
2409.03725,0
2401.12104,0
2412.05173,0
2408.02483,1
2409.15549,0
2509.12184,0
2509.10190,1
2508.15812,0
2407.01990,0
2409.00642,0
2401.10993,0
2409.01707,0
2404.14896,0
2501.16986,3
2510.23539,0
2403.09574,0
2509.03354,0
2410.11050,0
2408.10114,0
2501.18938,0
2509.09465,0
2410.11839,0
2403.10989,0
2504.07010,0
2405.07242,0
2503.18311,0
2405.08127,0
2402.17542,0
2509.02620,0
2401.14004,0
2502.17576,0
2506.00012,0
2505.02512,0
2410.13584,0
2407.17330,0
2406.17252,0
2409.03185,1
2410.16447,0
2508.14750,0
2505.05202,0
2401.09548,2
2408.08052,0
2509.22248,0
2510.15044,0
2507.00019,0
2504.13287,0
2407.20943,0
2409.04955,0
2402.13271,0
2501.17736,0
2407.08344,0
2408.13352,1
2501.12129,0
2505.20000,0
2412.04264,0
2405.09046,0
2502.16006,0
2408.05403,0
2505.21170,0
2405.01486,0
2411.04270,1
2409.20039,0
2412.11633,0
2402.13203,0
2408.00934,0
2503.23443,9
2505.07371,0
2410.14711,0
2504.06182,0
2409.15071,0
2406.18833,0
2509.15483,0
2410.15435,0
2404.12647,0
2505.17587,0
2503.02272,0
2408.15928,0
2506.03094,5
2502.01582,0
2503.16977,0
2406.17995,0
2409.03870,1
2408.14221,0
2412.14888,0
2502.04100,0
2411.19905,0
2502.01743,0
2507.00944,0
2506.16062,0
2405.12102,0
2506.05478,0
2410.22216,0
2409.09942,0
2504.03504,0
2405.18277,0
2404.18846,0
2408.06179,1
2507.05233,0
2510.19922,0
2505.13524,1
2503.15349,0
2503.07198,0
2509.09258,0
2504.21825,0
2509.09432,0
2510.21476,0
2506.09151,8
2504.11317,0
2409.10612,0
2406.05865,0
2502.07770,0
2412.05456,0
2503.05602,2
2506.19832,0
2406.14948,0
2501.10720,0
2409.08705,0
2407.21688,0
2508.11769,0
2506.07921,0
2505.23909,0
2406.09956,0
2508.16466,0
2407.03029,0
2509.18262,0
2505.06154,0
2412.17704,0
2407.21462,0
2404.09662,0
2510.10334,0
2506.01666,23
2401.14541,0
2401.17395,0
2410.06184,0
2408.11268,0
2405.08630,0
2507.16004,0
2402.00479,0
2509.00874,0
2502.20269,0
2508.05487,0
2403.01829,0
2507.21890,0
2505.09298,0
2501.06172,0
2412.02134,0
2509.07086,0
2403.00723,0
2503.10311,0
2507.14370,3
2501.18679,0
2509.20352,0
2504.20399,0
2505.21881,0
2401.02289,0
2409.12104,1
2403.02666,0
2505.01935,0
2506.03453,2
2403.18586,0
2503.16217,0
2404.10560,0
2404.12790,0
2507.07593,0
2510.08403,0
2404.18827,0
2510.09549,0
2402.18051,0
2510.14461,0
2403.04813,0
2504.06328,0
2510.10836,0
2506.16509,0
2504.04900,0
2407.06012,0
2510.08542,0
2410.21125,3
2505.08424,0
2508.01356,0
2507.16629,0
2402.07454,0
2506.03398,0
2504.05023,0
2407.05162,0
2509.12812,0
2412.09669,0
2407.10396,0
2505.15889,0
2509.16993,0
2501.17003,0
2502.15426,0
2405.05958,0
2504.03344,0
2503.17146,0
2409.19496,4
2405.02069,0
2407.11132,0
2410.01172,0
2510.04931,0
2403.19048,0
2510.19111,0
2410.05171,0
2404.06566,0
2507.23059,0
2409.15666,0
2510.12017,0
2411.02368,0
2401.07471,0
2510.22617,0
2405.00190,0
2501.18301,0
2505.13681,0
2402.10678,0
2412.06145,0
2410.06669,0
2510.04200,0
2410.13252,0
2405.07222,0
2509.17746,0
2404.08265,0
2507.17031,0
2409.09926,0
2509.12280,0
2503.05014,0
2410.12113,0
2404.08957,0
2508.08802,0
2501.05663,0
2510.06333,0
2510.05792,0
2401.05246,0
2503.23206,0
2412.01043,0
2509.01579,0
2503.10578,0
2407.14672,0
2407.07843,0
2501.16200,0
2402.13909,0
2410.05414,0
2402.12346,0
2410.23699,0
2505.06662,0
2502.09124,0
2405.15030,0
2409.17595,1
2510.00903,0
2509.15295,0
2404.07082,0
2503.12557,0
2403.19068,4
2501.01058,0
2507.15786,0
2504.09610,0
2406.06554,0
2412.04168,0
2509.20642,0
2401.16143,0
2403.10592,0
2410.09976,0
2409.10807,1
2407.00683,0
2504.19319,0
2410.16963,0
2506.11885,0
2405.14439,0
2410.08171,0
2509.26602,0
2411.04185,2
2501.09205,0
2408.16366,0
2408.00384,0
2411.01059,0
2504.20167,0
2507.01107,0
2411.11805,0
2402.05477,0
2508.21388,0
2411.01890,0
2505.19270,0
2506.12414,0
2509.02296,0
2411.16967,0
2411.07706,0
2503.03021,0
2411.12059,0
2401.17891,0
2409.08524,0
2508.00765,0
2509.17284,0
2403.08712,2
2502.16132,2
2407.10893,1
2401.12614,0
2406.06053,0
2403.02498,0
2410.18847,0
2401.10789,0
2507.03999,1
2407.07106,0
2510.15590,0
2507.00178,0
2508.04880,1
2412.18458,0
2406.07226,0
2403.10023,0
2502.20254,2
2412.08851,0
2411.16354,0
2403.12857,0
2503.03845,0
2504.15734,0
2412.16835,0
2407.17556,0
2506.14080,0
2403.13884,0
2407.16983,0
2404.14931,0
2408.00182,0
2505.04321,0
2401.06745,0
2408.01641,0
2407.13858,2
2504.08830,0
2402.13489,0
2405.10603,0
2409.13008,1
2510.08537,0
2503.11010,0
2506.19428,0
2411.14414,0
2410.19622,0
2509.00438,0
2401.08418,0
2507.00280,0
2408.14241,0
2406.07156,0
2509.25847,0
2510.01953,0
2503.03298,0
2410.06064,0
2403.10464,0
2510.07498,0
2506.17482,0
2510.00593,0
2405.00416,0
2404.12323,0
2409.15485,0
2412.11961,0
2412.06383,0
2409.04291,0
2408.02308,0
2407.13913,0
2412.14425,0
2412.14893,0
2506.06841,0
2401.17431,0
2503.21569,0
2505.07549,0
2412.12529,0
2501.05829,0
2504.06262,0
2411.04930,0
2505.08074,0
2504.05289,0
2501.17407,0
2502.05264,0
2403.04297,5
2407.20452,0
2501.14178,0
2507.05699,0
2508.09024,0
2402.08136,0
2405.10685,0
